TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF MAR 14, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,528.7,0,0,0,404.4,0,0,124.3,0
"WEEK OF MAR 21, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,357.6,0,0,0,233.3,0,0,124.3,0
"WEEK OF MAR 28, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,3068.8,0,0,0,873.4,0,0,283.5,1912
"WEEK OF APR 04, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,495.7,0,0,0,0,0,0,495.7,0
"WEEK OF APR 11, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,495.7,0,0,0,0,0,0,495.7,0
"WEEK OF APR 18, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,729,0,0,0,233.3,0,0,495.7,0
"WEEK OF APR 25, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,2068.9,0,0,0,917.7,0,3.9,459.8,687.5
"WEEK OF APR 25, 2016 (B)",Chipotle Mexican Grill : Legal Messages,3.3,0,0,0,0,0,3.3,0,0
"WEEK OF MAY 02, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,499.2,0,0,0,255,0,0,244.2,0
"WEEK OF MAY 09, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,244.2,0,0,0,0,0,0,244.2,0
"WEEK OF MAY 16, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,477.5,0,0,0,233.3,0,0,244.2,0
"WEEK OF MAY 23, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,244.2,0,0,0,0,0,0,244.2,0
"WEEK OF MAY 30, 2016 (B)",Chipotle Mexican Grill : Corporate Promotion,229.4,0,0,0,229.4,0,0,0,0
"WEEK OF MAY 30, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,1275.8,0,0,0,424.8,0,0,247.7,603.4
"WEEK OF JUN 06, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,249,0,0,0,0,0,0,249,0
"WEEK OF JUN 13, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,249,0,0,0,0,0,0,249,0
"WEEK OF JUN 20, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,249,0,0,0,0,0,0,249,0
"WEEK OF JUN 27, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,664.3,0,0,0,0,0,0,144.2,520.1
"WEEK OF JUL 04, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,4.5,0,0,0,0,0,0,4.5,0
"WEEK OF JUL 11, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,4.5,0,0,0,0,0,0,4.5,0
"WEEK OF JUL 18, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,4.5,0,0,0,0,0,0,4.5,0
"WEEK OF JUL 25, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,4.5,0,0,0,0,0,0,4.5,0
"WEEK OF AUG 01, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,336.5,0,0,0,0,0,0,0,336.5
"WEEK OF AUG 29, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,990.6,0,0,0,0,0,0,43,947.6
"WEEK OF SEP 05, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,75.3,0,0,0,0,0,0,75.3,0
"WEEK OF SEP 12, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,75.3,0,0,0,0,0,0,75.3,0
"WEEK OF SEP 19, 2016 (B)",Chipotle Mexican Grill : Corporate Promotion,625.1,0,0,0,0,553.8,71.3,0,0
"WEEK OF SEP 19, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,195.4,0,0,0,0,59.2,60.9,75.3,0
"WEEK OF SEP 26, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,1267.4,0,0,0,0,0,0,73.6,1193.8
"WEEK OF OCT 03, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,69.4,0,0,0,0,0,0,69.4,0
"WEEK OF OCT 10, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,69.4,0,0,0,0,0,0,69.4,0
"WEEK OF OCT 17, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,173.9,0,0,104.5,0,0,0,69.4,0
"WEEK OF OCT 24, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,245.3,0,0,175.9,0,0,0,69.4,0
"WEEK OF OCT 31, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,661.9,0,0,186.4,0,0,0,140.3,335.2
"WEEK OF NOV 07, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,364.1,0,0,212,0,0,0,152.1,0
"WEEK OF NOV 14, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,293.7,0,0,141.6,0,0,0,152.1,0
"WEEK OF NOV 21, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,152.1,0,0,0,0,0,0,152.1,0
"WEEK OF NOV 28, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,393.2,0,0,0.2,0,0,0,134.6,258.4
"WEEK OF DEC 05, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,121.5,0,0,0,0,0,0,121.5,0
"WEEK OF DEC 12, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,121.5,0,0,0,0,0,0,121.5,0
"WEEK OF DEC 19, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,121.5,0,0,0,0,0,0,121.5,0
"WEEK OF DEC 26, 2016 (B)",Chipotle Mexican Grill : General Promotion - QSR,339.1,0,0,0,0,0,0,104.2,235
